day,fwd_extract,K
2,-2.0,5
2,-1.0,20
2,-3.0,100
1,-2.0,5
1,-3.0,20
1,-6.0,100
2,-3.0,5
2,-3.0,20
2,-2.0,100
3,2.0,5
3,4.5,20
3,-8.0,100
2,-4.5,5
2,-9.5,20
2,-0.5,100
1,3.0,5
1,-3.0,20
1,4.0,100
2,2.0,5
2,1.0,20
2,2.5,100
1,1.5,5
1,0.0,20
1,-2.5,100
1,-1.0,5
1,1.0,20
1,7.0,100
3,0.5,5
3,3.5,20
3,4.5,100
3,-4.0,5
3,-6.0,20
3,-6.0,100
3,3.0,5
3,-1.0,20
3,7.5,100
1,2.0,5
1,4.0,20
1,18.0,100
3,0.0,5
3,4.0,20
3,21.0,100
1,2.0,5
1,3.0,20
1,1.0,100
1,1.0,5
1,-5.5,20
1,-1.5,100
1,-1.0,5
1,0.0,20
1,18.0,100
1,-3.0,5
1,-6.0,20
1,-3.0,100
1,-2.0,5
1,8.5,20
1,4.5,100
3,-3.0,5
3,-2.0,20
3,-10.0,100
3,0.0,5
3,-2.5,20
3,-1.0,100
1,-1.0,5
1,-2.0,20
1,13.0,100
2,-1.5,5
2,-2.0,20
2,-3.5,100
2,-2.5,5
2,-3.0,20
2,-2.5,100
3,0.0,5
3,0.5,20
3,-5.0,100
3,0.0,5
3,4.0,20
3,2.5,100
2,0.0,5
2,-4.0,20
2,-5.0,100
1,1.0,5
1,3.0,20
1,14.0,100
3,-3.0,5
3,-4.0,20
3,-1.0,100
2,-0.5,5
2,1.5,20
2,-0.5,100
1,1.0,5
1,3.0,20
1,10.0,100
3,-3.5,5
3,-6.5,20
3,-12.5,100
1,-1.0,5
1,0.0,20
1,0.0,100
1,-2.0,5
1,3.0,20
1,9.0,100
2,2.5,5
2,1.5,20
2,9.0,100
2,0.5,5
2,1.5,20
2,2.5,100
2,0.0,5
2,5.0,20
2,7.0,100
2,-6.5,5
2,-7.0,20
2,-8.0,100
3,-1.0,5
3,4.0,20
3,0.0,100
1,-2.0,5
1,-4.0,20
1,-3.0,100
3,-2.0,5
3,-1.0,20
3,-23.0,100
2,0.0,5
2,9.0,20
2,15.0,100
3,2.0,5
3,1.5,20
3,3.0,100
2,-3.0,5
2,-1.0,20
2,3.0,100
3,-1.0,5
3,-5.5,20
3,-10.0,100
2,0.0,5
2,0.5,20
2,12.0,100
2,-2.0,5
2,-2.0,20
2,-6.0,100
1,-0.5,5
1,2.5,20
1,-9.5,100
2,0.5,5
2,2.5,20
2,2.5,100
1,0.0,5
1,4.0,20
1,17.0,100
2,2.5,5
2,-2.0,20
2,-7.0,100
3,1.0,5
3,4.5,20
3,-0.5,100
1,0.5,5
1,0.0,20
1,13.0,100
2,-1.5,5
2,5.0,20
2,6.0,100
3,1.0,5
3,0.0,20
3,8.5,100
3,-0.5,5
3,-6.0,20
3,-6.5,100
3,-2.0,5
3,-1.0,20
3,-8.0,100
3,0.5,5
3,-0.5,20
3,1.5,100
2,-2.0,5
2,-2.0,20
2,7.0,100
2,0.5,5
2,2.0,20
2,-0.5,100
1,0.0,5
1,-1.0,20
1,-4.0,100
3,-3.0,5
3,-10.0,20
3,-9.0,100
1,-1.5,5
1,-2.0,20
1,-12.0,100
1,0.0,5
1,-3.0,20
1,-20.0,100
3,0.0,5
3,-5.0,20
3,-4.0,100
3,0.0,5
3,0.0,20
3,-9.0,100
3,-0.5,5
3,-3.0,20
3,-1.5,100
2,-3.0,5
2,-2.5,20
2,3.5,100
1,-1.5,5
1,1.5,20
1,4.5,100
3,1.0,5
3,6.0,20
3,8.5,100
1,1.0,5
1,-1.0,20
1,8.0,100
2,-1.0,5
2,-2.0,20
2,-4.0,100
3,0.0,5
3,4.0,20
3,15.0,100
1,2.0,5
1,-2.5,20
1,-9.5,100
3,2.0,5
3,0.0,20
3,-4.0,100
2,0.0,5
2,2.0,20
2,10.5,100
2,-3.0,5
2,-3.0,20
2,9.0,100
3,2.5,5
3,7.0,20
3,-4.0,100
3,5.0,5
3,9.5,20
3,13.5,100
2,-1.0,5
2,2.0,20
2,-2.0,100
2,1.0,5
2,11.5,20
3,2.5,5
3,-2.5,20
3,9.5,100
1,-3.5,5
1,-3.5,20
1,-21.5,100
3,0.5,5
3,5.5,20
3,1.0,100
1,2.0,5
1,4.0,20
1,4.5,100
2,4.0,5
2,2.5,20
2,0.5,100
2,5.0,5
2,7.0,20
2,3.0,100
1,4.0,5
1,-0.5,20
1,7.5,100
2,2.5,5
2,1.0,20
2,7.0,100
3,-2.5,5
3,-6.0,20
3,0.5,100
1,1.5,5
1,-0.5,20
1,0.5,100
2,-4.0,5
2,0.0,20
2,-12.0,100
3,3.0,5
3,-4.0,20
3,-14.0,100
1,-2.5,5
1,-4.5,20
1,-15.0,100
2,-1.0,5
2,4.5,20
2,5.5,100
2,3.0,5
2,3.0,20
2,0.0,100
3,0.0,5
3,7.0,20
3,9.0,100
2,1.5,5
2,-1.0,20
2,17.0,100
2,1.5,5
2,-4.0,20
2,-1.0,100
3,2.0,5
3,5.0,20
3,18.0,100
1,-2.0,5
1,-3.5,20
1,0.0,100
2,-2.0,5
2,-3.5,20
2,10.0,100
1,0.5,5
1,-2.5,20
1,-4.5,100
3,3.0,5
3,5.0,20
3,-3.0,100
2,2.0,5
2,3.0,20
2,-2.5,100
2,-6.0,5
2,-3.5,20
2,-8.0,100
1,3.0,5
1,1.0,20
1,-9.0,100
2,2.5,5
2,0.5,20
2,-2.5,100
3,1.0,5
3,9.0,20
3,13.0,100
1,-3.0,5
1,1.0,20
1,8.5,100
3,2.0,5
3,3.0,20
3,-12.0,100
3,-1.0,5
3,-3.0,20
3,-5.0,100
1,2.0,5
1,6.5,20
1,11.0,100
2,-6.0,5
2,-2.0,20
2,-13.0,100
2,2.0,5
2,-0.5,20
2,3.5,100
3,-1.5,5
3,0.0,20
3,6.0,100
2,3.0,5
2,6.0,20
2,6.0,100
3,5.0,5
3,4.0,20
3,4.0,100
1,6.0,5
1,8.0,20
1,-8.0,100
2,-2.0,5
2,3.5,20
2,5.0,100
1,1.5,5
1,-4.0,20
1,-4.0,100
3,-4.5,5
3,-0.5,20
3,-1.5,100
2,-2.0,5
2,-3.5,20
2,1.5,100
2,-4.0,5
2,-6.0,20
2,-10.0,100
3,-1.0,5
3,7.0,20
3,-1.5,100
2,2.0,5
2,2.5,20
2,5.0,100
3,2.5,5
3,4.0,20
3,16.0,100
3,2.0,5
3,2.0,20
3,-1.0,100
1,-1.5,5
1,1.0,20
1,5.0,100
1,-2.0,5
1,-4.0,20
1,14.0,100
3,0.5,5
3,1.5,20
3,-10.5,100
3,1.5,5
3,2.0,20
3,-7.0,100
3,4.5,5
3,4.0,20
3,8.5,100
1,1.0,5
1,7.0,20
1,8.0,100
3,-1.5,5
3,0.5,20
3,-5.5,100
2,2.0,5
2,-4.0,20
2,-9.0,100
1,-1.5,5
1,-4.0,20
1,-13.0,100
3,-5.0,5
3,-2.5,20
3,-1.5,100
1,3.5,5
1,5.5,20
1,-9.5,100
3,2.0,5
3,1.0,20
3,2.5,100
2,1.0,5
2,2.5,20
2,-0.5,100
1,-1.5,5
1,-1.0,20
1,-3.5,100
2,0.0,5
2,-8.0,20
2,-10.5,100
2,-1.0,5
2,-3.5,20
2,-18.5,100
1,3.0,5
1,2.5,20
1,-0.5,100
2,2.0,5
2,4.5,20
2,9.5,100
1,2.0,5
1,7.0,20
1,0.0,100
3,0.5,5
3,2.0,20
3,21.5,100
3,2.0,5
3,3.0,20
3,8.0,100
2,-2.5,5
2,-4.5,20
2,-0.5,100
2,-3.5,5
2,-6.5,20
2,-4.5,100
2,-1.0,5
2,-4.5,20
2,4.0,100
1,-0.5,5
1,2.0,20
1,-1.5,100
2,1.0,5
2,1.5,20
2,-0.5,100
3,0.5,5
3,-4.0,20
3,-16.0,100
3,2.0,5
3,3.5,20
3,6.0,100
1,-2.0,5
1,-5.5,20
1,11.5,100
3,-2.0,5
3,-4.0,20
3,-13.0,100
3,-0.5,5
3,-5.5,20
3,-8.5,100
2,-0.5,5
2,-6.5,20
2,-10.5,100
1,3.5,5
1,0.0,20
1,13.0,100
1,-2.0,5
1,-2.0,20
1,-4.0,100
2,2.0,5
2,1.0,20
2,-2.5,100
1,0.0,5
1,-3.0,20
1,9.0,100
1,-1.5,5
1,-1.0,20
1,13.0,100
1,-4.5,5
1,-3.0,20
1,-5.0,100
2,-0.5,5
2,1.0,20
2,-9.0,100
3,-2.5,5
3,0.0,20
3,-2.0,100
2,0.0,5
2,3.0,20
2,14.5,100
2,3.5,5
2,-0.5,20
2,-2.0,100
2,2.5,5
2,0.5,20
2,-6.5,100
3,1.0,5
3,-3.0,20
3,-7.5,100
1,2.0,5
1,0.0,20
1,-1.0,100
2,-1.0,5
2,-2.0,20
2,6.5,100
2,-4.0,5
2,-5.0,20
2,0.0,100
1,3.0,5
1,6.0,20
1,13.0,100
2,-2.5,5
2,-6.0,20
2,6.0,100
2,0.0,5
2,4.0,20
2,3.0,100
3,2.0,5
3,6.0,20
3,5.5,100
3,1.5,5
3,-2.0,20
3,-9.5,100
3,-0.5,5
3,-3.0,20
3,-3.0,100
3,-2.5,5
3,-4.0,20
3,-4.0,100
3,0.0,5
3,-7.0,20
3,-16.0,100
3,1.5,5
3,5.0,20
3,-9.0,100
2,-2.0,5
2,-2.0,20
2,-2.0,100
3,-2.0,5
3,10.0,20
3,9.0,100
1,-2.5,5
1,-3.5,20
1,19.0,100
1,2.5,5
1,3.0,20
1,10.0,100
3,2.0,5
3,4.0,20
3,1.0,100
2,-3.0,5
2,-5.0,20
2,5.0,100
3,0.0,5
3,4.5,20
3,14.5,100
1,3.0,5
1,5.0,20
1,0.0,100
2,1.0,5
2,-1.0,20
2,-1.5,100
1,-0.5,5
1,1.0,20
1,0.5,100
2,-0.5,5
2,-3.5,20
2,6.5,100
3,-2.0,5
3,-1.0,20
3,6.0,100
3,4.0,5
3,3.0,20
3,0.0,100
3,0.0,5
3,5.5,20
3,13.5,100
3,-1.0,5
3,-6.0,20
3,0.0,100
2,1.0,5
2,-6.0,20
2,-2.0,100
3,-5.5,5
3,-3.0,20
3,-4.0,100
1,3.0,5
1,2.0,20
1,-6.0,100
1,-1.0,5
1,-3.0,20
1,18.0,100
1,1.0,5
1,0.5,20
1,-10.0,100
2,2.0,5
2,3.5,20
2,11.0,100
3,0.5,5
3,0.0,20
3,0.0,100
1,-3.0,5
1,-7.0,20
1,-8.0,100
2,5.5,5
2,0.0,20
2,9.5,100
1,2.0,5
1,7.0,20
1,-7.0,100
3,0.0,5
3,-1.0,20
3,-18.0,100
2,1.0,5
2,-1.5,20
2,-11.0,100
3,-2.0,5
3,-5.0,20
3,-8.0,100
3,-3.0,5
3,-0.5,20
3,2.0,100
3,-1.0,5
3,0.0,20
3,-5.0,100
1,-6.0,5
1,-10.0,20
1,-13.0,100
2,-2.0,5
2,-1.0,20
2,5.5,100
3,0.0,5
3,2.0,20
3,3.0,100
2,-4.0,5
2,2.0,20
2,-11.0,100
2,1.0,5
2,2.0,20
2,2.5,100
1,2.0,5
1,-1.0,20
1,-18.5,100
2,-1.0,5
2,-1.0,20
2,9.0,100
1,-4.0,5
1,-6.0,20
1,2.0,100
1,-1.5,5
1,1.5,20
1,9.5,100
1,0.0,5
1,5.0,20
1,11.0,100
2,-2.5,5
2,-1.5,20
2,12.5,100
3,-1.0,5
3,-4.0,20
3,4.0,100
3,0.0,5
3,0.0,20
3,7.5,100
3,-0.5,5
3,0.5,20
3,-14.5,100
3,1.0,5
3,-8.0,20
3,9.5,100
3,2.0,5
3,0.5,20
3,-11.5,100
2,1.0,5
2,-6.0,20
2,6.5,100
1,-2.5,5
1,0.5,20
1,-8.0,100
3,-0.5,5
3,0.0,20
3,9.0,100
2,0.5,5
2,-1.0,20
2,-3.5,100
1,5.0,5
1,4.5,20
1,1.5,100
1,0.5,5
1,-3.0,20
1,7.0,100
2,1.0,5
2,2.5,20
2,1.0,100
3,2.0,5
3,6.0,20
3,8.5,100
2,1.0,5
2,-1.0,20
2,-7.0,100
1,0.5,5
1,-1.0,20
1,-5.0,100
3,-1.5,5
3,-3.0,20
3,9.0,100
3,1.0,5
3,0.0,20
3,3.0,100
1,2.0,5
1,5.0,20
1,12.0,100
3,-1.0,5
3,-1.0,20
3,1.0,100
3,-0.5,5
3,-1.0,20
3,-17.5,100
3,-3.0,5
3,-4.0,20
3,-5.5,100
3,-3.0,5
3,-7.0,20
3,0.0,100
1,-0.5,5
1,6.0,20
1,-5.0,100
1,1.0,5
1,5.0,20
1,16.0,100
2,-1.5,5
2,-1.5,20
2,2.5,100
2,-0.5,5
2,-4.5,20
2,-5.5,100
3,-2.0,5
3,-2.5,20
3,-5.0,100
3,-2.0,5
3,-7.0,20
3,7.5,100
3,0.0,5
3,3.0,20
3,-7.0,100
3,-0.5,5
3,9.0,20
3,19.0,100
1,-1.0,5
1,-1.5,20
1,-3.0,100
3,-0.5,5
3,8.0,20
3,3.0,100
1,1.0,5
1,-2.0,20
1,-3.5,100
1,-2.0,5
1,3.0,20
1,-8.5,100
2,3.0,5
2,3.0,20
2,8.0,100
2,2.0,5
2,-1.0,20
2,0.0,100
2,0.0,5
2,7.5,20
2,-10.5,100
2,4.0,5
2,2.0,20
2,12.0,100
1,-0.5,5
1,-1.5,20
1,-10.5,100
2,2.5,5
2,1.0,20
2,5.0,100
3,1.5,5
3,1.0,20
3,9.5,100
2,0.5,5
2,10.5,20
2,9.5,100
2,0.0,5
2,-2.0,20
2,-6.0,100
3,-1.0,5
3,-3.0,20
3,1.0,100
1,4.0,5
1,2.5,20
1,-3.0,100
3,1.5,5
3,-5.0,20
3,-1.5,100
2,-2.5,5
2,-3.5,20
2,-8.5,100
2,2.0,5
2,5.0,20
2,5.0,100
1,1.0,5
1,1.0,20
1,-13.5,100
1,3.0,5
1,1.0,20
1,-15.0,100
3,1.0,5
3,2.0,20
3,-6.0,100
1,-3.0,5
1,-5.0,20
1,-7.0,100
3,2.0,5
3,7.0,20
3,17.0,100
2,5.0,5
2,4.0,20
2,-13.0,100
2,1.0,5
2,-1.5,20
2,3.0,100
2,0.0,5
2,2.5,20
2,20.5,100
2,0.5,5
2,5.0,20
2,-1.0,100
2,-1.0,5
2,1.0,20
2,-9.0,100
1,1.5,5
1,-2.5,20
1,-11.5,100
2,1.0,5
2,-5.0,20
2,-13.5,100
1,1.5,5
1,-3.0,20
1,-4.5,100
2,1.5,5
2,-3.0,20
2,-4.0,100
3,-2.0,5
3,1.0,20
3,-9.0,100
1,3.0,5
1,1.0,20
1,-7.0,100
2,1.0,5
2,2.0,20
2,3.0,100
1,1.0,5
1,5.0,20
1,-11.0,100
3,-1.0,5
3,3.0,20
3,6.0,100
3,0.0,5
3,-3.0,20
3,-8.5,100
3,6.0,5
3,10.5,20
3,10.0,100
1,0.0,5
1,-5.0,20
1,4.0,100
3,-2.0,5
3,-4.0,20
3,-6.0,100
2,0.5,5
2,-0.5,20
2,14.0,100
3,3.5,5
3,3.5,20
3,-1.5,100
3,-0.5,5
3,-7.0,20
3,0.5,100
2,1.0,5
2,3.0,20
2,1.0,100
3,-2.0,5
3,-12.0,20
3,-9.5,100
2,3.0,5
2,1.5,20
2,-6.0,100
1,0.5,5
1,0.5,20
1,5.5,100
3,3.0,5
3,5.0,20
3,18.0,100
3,1.0,5
3,-4.5,20
3,-2.0,100
3,-0.5,5
3,-1.0,20
3,-11.0,100
1,-0.5,5
1,0.5,20
1,-8.5,100
2,2.0,5
2,4.0,20
2,3.0,100
1,-1.0,5
1,-1.0,20
1,-20.5,100
1,1.0,5
1,2.0,20
1,11.0,100
2,-1.0,5
2,-3.0,20
2,-7.0,100
3,-2.5,5
3,-6.0,20
3,-2.0,100
1,-1.0,5
1,7.0,20
1,3.0,100
2,2.0,5
2,-1.5,20
2,-7.5,100
1,1.0,5
1,0.5,20
1,-11.5,100
1,-3.0,5
1,-0.5,20
1,-15.5,100
1,-2.0,5
1,-2.0,20
1,-2.0,100
2,-0.5,5
2,-1.5,20
2,-9.0,100
3,-3.0,5
3,-6.0,20
3,-7.0,100
1,-1.0,5
1,3.0,20
1,-6.0,100
1,0.0,5
1,-1.0,20
1,-3.0,100
3,1.0,5
3,-3.0,20
3,0.5,100
2,0.0,5
2,0.0,20
2,2.0,100
2,2.5,5
2,5.0,20
2,16.5,100
1,0.5,5
1,-1.0,20
1,-8.5,100
1,-2.0,5
1,4.0,20
1,3.0,100
2,-0.5,5
2,2.5,20
2,1.0,100
1,-3.5,5
1,-6.5,20
1,4.5,100
3,2.0,5
3,-2.0,20
3,-4.0,100
2,0.5,5
2,-0.5,20
2,-3.0,100
1,2.0,5
1,7.5,20
1,8.0,100
1,1.5,5
1,0.0,20
1,-15.0,100
3,0.5,5
3,3.5,20
3,-4.5,100
1,1.0,5
1,4.0,20
1,-2.0,100
3,2.0,5
3,-3.0,20
3,-5.0,100
1,2.5,5
1,4.5,20
1,16.5,100
3,2.5,5
3,1.0,20
3,-11.0,100
1,0.0,5
1,0.0,20
1,-1.0,100
3,0.0,5
3,1.5,20
3,-1.0,100
1,-5.0,5
1,-6.0,20
1,-14.0,100
1,1.0,5
1,0.5,20
1,10.5,100
2,4.0,5
2,7.5,20
2,13.0,100
1,1.5,5
1,1.5,20
1,-6.5,100
1,-1.5,5
1,-3.5,20
1,-7.5,100
2,-1.0,5
2,1.5,20
2,-4.0,100
1,0.0,5
1,-8.5,20
1,7.0,100
2,1.0,5
2,5.0,20
2,-17.0,100
2,0.5,5
2,1.0,20
2,5.0,100
3,1.0,5
3,5.5,20
3,9.0,100
1,1.0,5
1,-3.0,20
1,7.0,100
